Crop,NuContAvailable,YieldUnit,AvMoisture%,AvN%,AvP%,AvK%,YieldUnitWeight(lb)_set
"Fescue, for green chop","N,P",ton,64,1.161777778,0.25,#DIV/0!,"2,000"
"Fescue, for green chop (early bloom)","N,P,K",ton,71,2.36,0.37,1.92,"2,000"
"Fescue, for green chop (early vegetative)","N,P,K",ton,73.9,2.752,0.4,2.13,"2,000"
"Fescue, for green chop (late bloom)",N,ton,64,1.536,#DIV/0!,#DIV/0!,"2,000"
"Fescue, for green chop (mature)",N,ton,64,1.072,#DIV/0!,#DIV/0!,"2,000"
"Fescue, for green chop (over ripe)","N,P,K",ton,64,0.608,0.11,0.9,"2,000"
"Fescue, for hay",N,ton,10,1.511111111,#DIV/0!,#DIV/0!,"2,000"
"Fescue, for hay (early bloom)","N,P,K",ton,11.95,1.776,0.24,1.7,"2,000"
"Fescue, for hay (early vegetative)","N,P,K",ton,9,1.984,0.36,2.3,"2,000"
"Fescue, for hay (late vegetative)","N,P,K",ton,7.3,2.896,0.34,2,"2,000"
"Fescue-Meadow, for hay",N,ton,11.6,1.194570136,#DIV/0!,#DIV/0!,"2,000"
"Fescue-Tall, for green chop","N,P",ton,70.5,2.336,0.37,#DIV/0!,"2,000"
"Fescue-Tall, for green chop (early bloom)","N,P",ton,71.4,2.672,0.37,#DIV/0!,"2,000"
"Fescue-Tall, for green chop (early bloom) (Pacific coast)",N,ton,71.4,2.176,#DIV/0!,#DIV/0!,"2,000"
"Fescue-Tall, for green chop (early vegetative)","N,P,K",ton,73.2,3.376,0.39,4.48,"2,000"
"Fescue-Tall, for green chop (full bloom) (Pacific coast)",N,ton,75,1.44,#DIV/0!,#DIV/0!,"2,000"
"Fescue-Tall, for green chop (late vegetative)","N,P",ton,73.7,3.218,0.39,#DIV/0!,"2,000"
"Fescue-Tall, for green chop (late vegetative) (Pacific coast)",N,ton,76.1,2.896,#DIV/0!,#DIV/0!,"2,000"
"Fescue-Tall, for green chop (mature)","N,P,K",ton,75,1.1,0.25,1.82,"2,000"
"Fescue-Tall, for green chop (mature) (Pacific coast)",N,ton,75,1.072,#DIV/0!,#DIV/0!,"2,000"
"Fescue-Tall, for green chop (mid bloom)","N,P,K",ton,75,1.7,0.29,2.06,"2,000"
"Fescue-Tall, for green chop (mid bloom) (Pacific coast)",N,ton,75,1.68,#DIV/0!,#DIV/0!,"2,000"
"Fescue-Tall, for green chop (Pacific coast)",N,ton,70.5,1.856,#DIV/0!,#DIV/0!,"2,000"
"Fescue-Tall, for hay (early bloom)","N,P,K",ton,8,3.144,0.26,1.96,"2,000"
"Fescue-Tall, for hay (early vegetative)","N,P,K",ton,7.9,3.248,0.51,2.36,"2,000"
"Fescue-Tall, for hay (full bloom)","N,P,K",ton,8.4,2.312,0.32,2.36,"2,000"
"Fescue-Tall, for hay (full bloom) (Pacific coast)",N,ton,8.4,0.752,#DIV/0!,#DIV/0!,"2,000"
"Fescue-Tall, for hay (late vegetative)",N,ton,15,3.062,#DIV/0!,#DIV/0!,"2,000"
"Fescue-Tall, for hay (late vegetative) (Pacific coast)","N,P",ton,4.4,2.144,0.24,#DIV/0!,"2,000"
"Fescue-Tall, for hay (mature)","N,P,K",ton,12.5,1.714666667,0.3,1.96,"2,000"
"Fescue-Tall, for hay (mid bloom)","N,P,K",ton,11.4,2.174666667,0.29,2.06,"2,000"
"Fescue-Tall, for hay (over ripe)",N,ton,8,1.448,#DIV/0!,#DIV/0!,"2,000"
"Fescue-Tall, for hay (Pacific coast)","N,P",ton,11,1.392,0.24,#DIV/0!,"2,000"
Fig,"N,P,K",lb of fruit ,79.11,0.57443753,0.067017712,1.110579225,8
"Filbert or Hazelnut, dry","N,P,K",lb of nut,5.42,2.205963206,0.329879467,0.470501163,1
"Flax, for seed","N,P,K",bu,6.14,3.703563326,0.566092751,0.844072495,56
"Flax, for straw","N,P,K",lb straw/bu grain,6.94,1.112342909,0.084439655,1.741422414,
"Gamagrass-Eastern, for hay (inflorescence to anthesis, cut 1)","N,P,K",ton,10.85,1.996,0.265,2.02,"2,000"
"Gamagrass-Eastern, for hay (seed ripening, cut 1)","N,P,K",ton,10.85,1.685,0.265,2.02,"2,000"
"Gamagrass-Eastern, for hay (vegetative, cut>1)","N,P,K",ton,10.85,1.69212,0.395,2.64,"2,000"
"Gamagrass-Eastern, for hay (boot, cut 1)","N,P,K",ton,10.85,2.28,0.265,2.02,"2,000"
"Gamagrass-Eastern, for hay (maturity, cut 1)","N,P,K",ton,10.85,1.51,0.095,3.06,"2,000"
Garlic,"N,P,K",lb of fruit ,61,2.625641026,0.44,1.384615385,30
Ginkgo Nut or Maidenhair Tree Nut,"N,P,K",lb of fruit,55.2,1.542857143,0.276785714,1.138392857,1
Gooseberry,"N,P,K",lb of fruit ,87.87,1.16075845,0.222588623,1.632316571,11
Grape-American type,"N,P,K",lb of fruit,80.65,0.569518717,0.053475936,1.021390374,1
Grape-European type,"N,P,K",lb of fruit,80.28,0.571604938,0.066872428,0.951646091,1
Grapefruit-Pink & Red (all areas),"N,P,K",lb of fruit ,91.38,1.020881671,0.104408353,1.496519722,65
Grapefruit-Pink & Red (California & Arizona),"N,P,K",lb of fruit ,89.31,0.748362956,0.112254443,1.375116932,65
Grapefruit-Pink & Red (Florida),"N,P,K",lb of fruit ,91.56,1.042654028,0.106635071,1.504739337,80
"Grapefruit-Pink, Red, & White (all areas)","N,P,K",lb of fruit ,90.89,1.1064764,0.087815587,1.525795829,65
Grapefruit-White (all areas),"N,P,K",lb of fruit ,90.48,1.159663866,0.084033613,1.554621849,65
Grapefruit-white (California),"N,P,K",lb of fruit ,89.58,1.351247601,0.115163148,1.372360845,65
Grapefruit-white (Florida),"N,P,K",lb of fruit ,90.76,1.090909091,0.075757576,1.623376623,80
"Grass + Clover-Red, for hay","N,P,K",ton,11.6,2.272,0.23,1.42,"2,000"
"Grass + Clover-Red, for hay (full bloom)",N,ton,11.3,2.528,#DIV/0!,#DIV/0!,"2,000"
"Grass + Clover-Red, for hay (mature)","N,P",ton,8.6,1.776,0.25,#DIV/0!,"2,000"
"Grass + Clover-Red, for hay (mid bloom)","N,P,K",ton,10.8,2.656,0.23,1.59,"2,000"
"Grass + Clover-White-Ladino type, for green chop","N,P",ton,80,2.8,0.4,#DIV/0!,"2,000"
"Grass + Clover-White-Ladino type, for green chop (early bloom)",N,ton,80,2.448,#DIV/0!,#DIV/0!,"2,000"
"Grass + Clover-White-Ladino type, for hay","N,P,K",ton,11.25,2.918278596,0.227587769,1.962627407,"2,000"
"Grass + Clover-White-Ladino type, for hay (mature)","N,P,K",ton,8.5,1.808,0.22,1.75,"2,000"
"Grass, for green chop","N,P,K",ton,72.5,2.503933571,0.256761566,1.969584816,"2,000"
"Grass, for green chop (early bloom)","N,P,K",ton,71.8,1.644813853,0.228636364,1.330584416,"2,000"
"Grass, for green chop (mature)","N,P",ton,52.1,0.977023697,0.05,#DIV/0!,"2,000"
"Grass, for hay","N,P,K",ton,10.9,1.518606742,0.218988764,1.449578652,"2,000"
"Grass, for hay (early bloom)",P,ton,10.6,#DIV/0!,0.28,#DIV/0!,"2,000"
"Grass, for hay (full bloom)","N,P,K",ton,10.85,1.536,0.24,1.34,"2,000"
"Grass, for hay (mature)","N,P",ton,9.57,0.842666667,0.16,#DIV/0!,"2,000"
"Grass, for silage, (early bloom)","N,P,K",ton,75.1,1.84,0.32,1.88,"2,000"
Groundcherry,"N,P",lb of fruit,85.4,2.082191781,0.273972603,#DIV/0!,1
"Guar, for green chop (mature)","N,P,K",ton,80.8,1.904,0.16,1.91,"2,000"
"Guar, for green chop (pre bloom)",N,ton,80.8,2.56,#DIV/0!,#DIV/0!,"2,000"
"Guar, for green chop (vegetative)","N,P,K",ton,81,2.336,0.17,1.92,"2,000"
"Guar, for hay",N,ton,8.05,2.664,#DIV/0!,#DIV/0!,"2,000"
Guava-Common,"N,P,K",lb of fruit ,86.1,0.943884892,0.179856115,2.043165468,10
Guava-Strawberry,"N,P,K",lb of fruit ,80.66,0.47983454,0.139607032,1.509824199,10
Hickory Nut (dry),"N,P,K",lb of nut,2.65,2.090600925,0.345146379,0.447868516,1
Jackfruit,"N,P,K",lb of fruit,72.23,0.846957148,0.129636298,1.09110551,1
Java-plum,"N,P,K",lb of fruit,83.13,0.682868998,0.100770599,0.4682869,1
"Jojoba, for seed",N,lb of seed,4.9,2.368,#DIV/0!,#DIV/0!,1
Jujube-Common,"N,P,K",lb of fruit,77.86,0.867208672,0.103884372,1.129177958,1
"Kale, for leaf","N,P,K",lb of leaf,85,3.52,0.373333333,2.666666667,35
"Kale, for green chop","N,P,K",lb of leaf,88.53,3.398779661,0.529491525,3.03,35
Kiwi,"N,P,K",lb of fruit ,83.05,0.934513274,0.235988201,1.958702065,125
Kohlrabi,"N,P,K",lb of stem,91,3.022222222,0.511111111,3.888888889,1
Kumquat,"N,P,K",lb of fruit ,81.7,0.786885246,0.103825137,1.065573771,22
Leek,"N,P,K",lb of fruit ,83,1.411764706,0.205882353,1.058823529,20
Lemon,"N,P,K",lb of fruit ,87.2,1.511904762,0.119047619,1.150793651,79
"Lentil-Common, for seed","N,P,K",lb of seed,11.33,4.362666667,0.426666667,0.856666667,60
"Lespedeza-Korean, for hay (early bloom)",N,ton,6.1,2.448,#DIV/0!,#DIV/0!,"2,000"
"Lespedeza-Korean, for hay (full bloom)","N,P,K",ton,9,2.288,0.24,0.96,"2,000"
"Lespedeza-Korean, for hay (pre bloom)",N,ton,13,1.984,#DIV/0!,#DIV/0!,"2,000"
"Lespedeza-Korean, for hay (vegetative)","N,P,K",ton,9.6,2.544,0.21,1.05,"2,000"
"Lespedeza-Sericea, for hay","N,P,K",ton,10,2.221865471,0.248318386,1.099327354,"2,000"
"Lespedeza-Sericea, for hay (cut 2)","N,P,K",ton,8.6,2.304,0.23,1.01,"2,000"
"Lespedeza-Sericea, for hay (cut 3)","N,P,K",ton,8.2,2.416,0.23,0.93,"2,000"
"Lespedeza-Sericea, for hay (early bloom)","N,P,K",ton,5.4,2.752,0.26,0.69,"2,000"
"Lespedeza-Sericea, for hay (full boom)","N,P",ton,5.6,2.432,0.22,#DIV/0!,"2,000"
"Lespedeza-Sericea, for hay (mid bloom)",N,ton,7.2,2.704,#DIV/0!,#DIV/0!,"2,000"
"Lespedeza-Sericea, for hay (vegetative)","N,P,K",ton,5.8,2.976,0.27,0.99,"2,000"
"Lespedeza-Sericea, for seed",N,ton,7.7,5.807575298,#DIV/0!,#DIV/0!,100
"Lespedeza-Striate, for hay","N,P,K",ton,11,2.496,0.29,1.37,"2,000"
"Lespedeza-Striate, for hay (early bloom)","N,P,K",ton,9,2.608,0.24,1.1,"2,000"
"Lespedeza-Striate, for hay (full bloom)","N,P,K",ton,10.87,2.264,0.206666667,1.036666667,"2,000"
"Lespedeza-Striate, for hay (mid bloom)","N,P,K",ton,8,2.016,0.183333333,1.033333333,"2,000"
"Lespedeza-Striate, for hay (pre bloom)","N,P,K",ton,11.07,2.56,0.266666667,1.213333333,"2,000"
"Lettuce-Butterhead or Curled, for leaf","N,P,K",lb of leaf,96,4.8,0.775,6.75,50
"Lettuce-Chrisphead or Iceberg or Great Lakes, for leaf","N,P,K",lb of leaf,95,2.56,0.5,2,50
"Lettuce-Head, for head","N,P,K",lb of leaf,94.8,3.81,0.48,4.52,50
"Lettuce-Romaing or Cos, for leaf","N,P,K",lb of leaf,94,4.266666667,0.75,6.666666667,28
Lime,"N,P,K",lb of fruit ,88.26,0.954003407,0.153321976,0.868824532,80
Longan,"N,P,K",lb of fruit,82.75,1.215072464,0.12173913,1.542028986,1
Loquat,"N,P,K",lb of fruit,86.73,0.518462698,0.203466466,2.004521477,1
Lychee Nut,"N,P,K",lb of fruit ,81.76,0.728070175,0.16995614,0.9375,15
Macadamia Nut (dry),"N,P,K",lb of nut,2.88,1.36738056,0.140032949,0.378912685,1
Mammee apple,"N,P,K",lb of fruit,86.2,0.579710145,0.079710145,0.34057971,1
Mango,"N,P,K",lb of fruit ,81.71,0.446145435,0.060142154,0.852925096,10
Melon-Canteloupe,"N,P,K",lb of fruit ,89.89,1.488845401,0.362113503,3.161741683,40
Melon-Casaba,"N,P,K",lb of fruit ,92,1.5,0.0875,2.625,30
Melon-Honeydew,"N,P,K",lb of fruit ,88.33,0.909745574,0.164801369,2.579675644,30
Melon-Waternelon,"N,P,K",cwt,90.84,1.113580683,0.112002356,1.333156655,100
"Millet-Foxtail, for grain","N,P,K",bu,10.62,2.1127641,0.343616723,0.349307894,50
"Millet-Foxtail, for green chop and silage (late bloom)","N,P,K",ton,72.45,1.594131488,0.18150519,1.94,"2,000"
"Millet-Foxtail, for hay",N,ton,7,1.582795699,#DIV/0!,#DIV/0!,"2,000"
"Millet-Foxtail, for straw","N,K",ton,10.67,0.673925926,#DIV/0!,1.6,"2,000"
"Millet-Pearl, for grain","N,P,K",bu,10.1,2.216,0.375,0.39,50
"Millet-Pearl, for green chop and silage (milk to soft dough stage)","N,P,K",ton,78.4,1.544,0.26,1.63,"2,000"
"Millet-Pearl, for hay",N,ton,10.1,1.601779755,#DIV/0!,#DIV/0!,"2,000"
"Millet-Pearl, for straw","N,K",lb straw/lb grain,10,0.677777778,#DIV/0!,1.6,
"Millet-Proso, for grain","N,P,K",bu,9.9,2.080332743,0.335464602,0.478554572,56
"Millet-Proso, for straw","N,K",lb straw/bu grain,10,0.677777778,#DIV/0!,1.6,
"Mustard, for seed",N,cwt,4.1,3.837330553,#DIV/0!,#DIV/0!,100
"Mint, for hay (mature)","N,P",ton,12.27,2.336,0.22,#DIV/0!,"2,000"
Mulberry,"N,P,K",lb of fruit,87.68,1.87012987,0.308441558,1.574675325,1
Mungbean,"N,P,K",lb of seed,10.23,4.117333333,0.4,1.326666667,1
Mushroom,"N,P,K",lb of fruit ,92,5.8,1.125,4,10
"Mustard, for greens (immature leaf)","N,P,K",lb of leaf,91,4.8,0.5,3.777777778,35
"Mustard, for hay",N,ton,17.5,2.832,#DIV/0!,#DIV/0!,"2,000"
Natalgrass for hay,"N,P",ton,7.5,0.64,0.345945946,#DIV/0!,"2,000"
Nectarine,"N,P,K",lb of fruit ,86.28,1.096209913,0.116618076,1.545189504,25
"Oat, for grain (not including Pacific Coast)","N,P,K",bu,10.67,2.093241724,0.381844621,0.464179601,32
"Oat, for grain (Pacific coast)","N,P,K",bu,8.87,1.587649123,0.335,0.42,32
"Oat, for green chop","N,P,K",ton,78.9,2.12,0.24,1.89,"2,000"
"Oat, for green chop (boot to early bloom)","N,P,K",ton,73.97,1.97593985,0.339448622,1.879899749,"2,000"
"Oat, for green chop (dough stage)","P,K",ton,70.93,#DIV/0!,0.253333333,1.933333333,"2,000"
"Oat, for green chop (full bloom)","P,K",ton,67.8,#DIV/0!,0.31,2.07,"2,000"
"Oat, for green chop (mature)","N,P",ton,72,1.43542857,0.282857145,#DIV/0!,"2,000"
"Oat, for green chop (vegetative)","N,P",ton,83.68,2.886921987,0.473532241,#DIV/0!,"2,000"
"Oat, for hay","N,P,K",ton,10.24,1.373104523,0.237019425,1.260527809,"2,000"
"Oat, for hay (dough stage)","N,P,K",ton,9.1,1.456,0.203333333,1.53,"2,000"
"Oat, for hay (early bloom)",N,ton,10.9,1.536,#DIV/0!,#DIV/0!,"2,000"
"Oat, for hay (full bloom)","N,P,K",ton,14.2,1.472,0.35,2.41,"2,000"
"Oat, for hay (mature)","N,P",ton,8.65,1.232,0.23,#DIV/0!,"2,000"
"Oat, for hay (milk stage)","N,P",ton,12.1,1.336,0.2,#DIV/0!,"2,000"
"Oat, for hay (vegetative)","N,P",ton,9.9,2.208,0.43,#DIV/0!,"2,000"
"Oat, green chop (milk stage)","N,P,K",ton,73.43,1.450586466,0.339172932,2.149849624,"2,000"
"Oat, straw (not including Pacific coast)","N,P,K",lb straw/bu grain,9.68,0.706193318,0.085055679,2.389292873,
"Oat, straw (Pacific Coast)","N,P,K",lb straw/bu grain,10.2,0.734966592,0.100222717,2.227171492,
"Oatgrass-Tall, for hay",N,ton,8.1,1.63656148,#DIV/0!,#DIV/0!,"2,000"
Ohelogerrie,"N,P,K",lb of fruit,92.3,0.78961039,0.12987013,0.493506494,1
Okra,"N,P,K",lb of leaf,88,2.666666667,0.525,2.333333333,15
Okra-Chinese,"N,P",lb of leaf,93,2.742857143,0.457142857,#DIV/0!,15
Onion-Dry (bulb),"N,P",lb of fruit ,90,2.2,0.26,#DIV/0!,10
Onion-Dry (bulb) cultivar 'Southport White Globe',"N,P,K",lb of fruit ,86,1.714285714,0.307142857,1.285714286,10
Onion-Dry (bulb) cultivar 'Sweet Spanish',"N,P,K",lb of fruit ,90,0.8,0.27,1.2,10
Onion-Green (bulb),"N,P,K",lb of fruit ,90,2.08,0.43,1.2,11
Onion-Green (leaf),"N,P,K",lb of leaf,92,4,0.375,2.75,11
Orange (all commercial varieties),"N,P,K",lb of fruit ,84.24,1.182515723,0.12048218,1.366037736,77
Orange (Florida),"N,P,K",lb of fruit ,87.14,0.870917574,0.093312597,1.314152411,90
Orange (with peel),"N,P,K",lb of fruit ,82.3,1.175141243,0.124293785,1.107344633,77
Orange-Navel (California),"N,P,K",lb of fruit ,86.81,1.249431387,0.144048522,1.349507202,77
Orange-Valencia (California),"N,P,K",lb of fruit ,86.34,1.218155198,1.244509517,1.310395315,77
"Orchardgrass + Alfalfa, for hay","N,P",ton,9.7,2.479714286,0.267857143,#DIV/0!,"2,000"
"Orchardgrass + Alfalfa, for hay (cut 1)","N,P,K",ton,7.95,2.144,0.2,1.49,"2,000"
"Orchardgrass, for green chop","N,P,K",ton,74.13,2.368,0.175,2.635,"2,000"
"Orchardgrass, for green chop (mature)",N,ton,9.6,1.056,#DIV/0!,#DIV/0!,"2,000"
"Orchardgrass, for green chop (mid bloom)","N,P,K",ton,72.2,1.537631654,0.202377049,2.09,"2,000"
"Orchardgrass, for green chop (pre bloom)","N,P,K",ton,73.16,2.304655216,0.411997486,3.42,"2,000"
"Orchardgrass, for hay","N,P,K",ton,10.83,1.714403608,0.253232807,2.798649944,"2,000"
"Orchardgrass, for hay (mature)","N,P,K",ton,10.45,1.254326304,0.25,3.69,"2,000"
"Orchardgrass, for hay (mid bloom)","N,P,K",ton,9.5,1.696,0.45,2.05,"2,000"
"Orchardgrass, for hay (pre bloom)","N,P,K",ton,12.48,2.393352614,0.46134594,3.823743048,"2,000"
"Orchardgrass, for hay (vegetative)","N,P,K",ton,9.83,1.438401776,0.336592675,3.825,"2,000"
Papaya,"N,P,K",lb of fruit ,88.83,0.873769024,0.044762757,2.30080573,10
Parsley,"N,P,K",lb of leaf,90,3.52,0.4,2.7,21
Parsnip,"N,P,K",lb of leaf,81,1.010526316,0.363157895,1.736842105,25
"Passion-Fruit, (purple)","N,P,K",lb of fruit,72.93,1.300332471,0.251200591,1.285555966,1
"Pea, for straw",N,ton,13.5,1.530666667,#DIV/0!,#DIV/0!,"2,000"
"Pea, for vine (without pods)",N,ton,75,2,#DIV/0!,#DIV/0!,"2,000"
Peach (without skin),"N,P,K",lb of fruit ,87.83,0.953808752,0.097244733,1.59643436,25
"Pea-Chinese, for immature pod with seeds","N,P,K",lb of fruit ,88,3.733333333,0.441666667,1.416666667,30
"Pea-English, for seed (immature seed)","N,P,K",lb of seed,79,4.495238095,0.523809524,1.238095238,30
"Pea-Field, for hay","N,P,K",ton,10.93,2.57420178,0.274977604,1.489888018,"2,000"
"Pea-Field, for silage","N,P,K",ton,73,2.256,0.29,1.4,"2,000"
"Pea-Field, for seed (dry)","N,P,K",lb of seed,9.03,4.102871003,0.485316979,1.288902977,60
"Pea-Field, for straw","N,P,K",lb straw/lb grain,11.2,1.335618625,0.110432373,1.198669623,
"Pea-Flat, for silage (early bloom)","N,P,K",ton,73,4.22,0.37,2.22,"2,000"
"Pea-Garden, for pod","N,P,K",lb of fruit ,87.1,2.24,0.23,1.4,30
"Pea-Garden, for seed (dry)","N,P,K",cwt,10.45,4.258871003,0.477816979,1.053902977,100
"Pea-Garden, for seed (immature seed)","N,P,K",lb of seed,79.5,4.347619048,0.546904762,1.238095238,30
"Pea-Garden, for straw","N,P,K",ton,11.2,1.335618625,0.110432373,1.198669623,"2,000"
"Peanut, for fruit (pod with seeds)","N,P,K",lb of fruit,6.82,4.254759672,0.350230252,0.561076869,1
"Peanut, for hay (dug and with nuts)","N,P,K",ton,8.25,2.331043478,0.156521739,0.921956522,"2,000"
"Peanut, for hay (dug and without nuts)","N,P,K",ton,9.15,1.747002208,0.186743929,1.379845475,"2,000"
"Peanut, for hay (mowed)","N,P,K",ton,10.83,1.915489059,0.16,1.38,"2,000"
"Peanut, for seed only","N,P",lb of seed,7.75,4.856613757,0.402116402,#DIV/0!,1
"Peanut, for vine only","N,P,K",lb vine/lb fruit,9.45,1.643002208,0.143487859,1.379690949,
Pear,"N,P,K",lb of fruit ,82.91,0.39271155,0.067943175,0.772081532,23
"Pea-Shelling, for seed (immature seed)","N,P,K",lb of seed,79,4.495238095,0.523809524,1.238095238,30
"Pea-Sugar, for immature pod with seeds","N,P,K",lb of fruit ,88,3.733333333,0.441666667,1.416666667,30
Pecan (dry),N,lb of nut,15,2.8,#DIV/0!,#DIV/0!,1
Pepper-Bell (green),"N,P,K",lb of fruit ,92.5,2.178571429,0.377142857,2.142857143,30
Pepper-Bell (red),"N,P,K",lb of fruit ,91,1.422222222,0.311111111,2.222222222,30
Pepper-Chili (green),"N,P,K",lb of fruit ,86,2.285714286,0.328571429,1.857142857,30
Pepper-Chili (red),"N,P,K",lb of fruit ,84,2,0.28125,2.625,30
Pepper-Pimiento,"N,P,K",lb of fruit ,90,1.92,0.2,2.5,30
Persimmon-Japanese,"N,P,K",lb of fruit ,80.32,0.471544715,0.086382114,0.818089431,22
Persimmons-Native,"N,P,K",lb of fruit ,64.4,0.359550562,0.073033708,0.870786517,22
Pineapple,"N,P,K",lb of fruit ,86.5,0.462222222,0.051851852,0.837037037,40
"Pistachio, for nuts (dry)","N,P,K",lb of nut,3.87,3.42536149,0.523249766,1.137001977,1
Pitanga,"N,P,K",lb of fruit,90.81,1.392818281,0.119695321,1.12078346,1
Plantain,"N,P,K",lb of fruit ,65.28,0.599078341,0.097926267,1.437211982,25
Plum,"N,P,K",lb of fruit ,85.2,0.854054054,0.067567568,1.162162162,30
Pomegranate (without skin),"N,P,K",lb of fruit ,80.97,0.798738833,0.042038886,1.361008933,22
Potato-Irish for tuber,"N,P,K",cwt,77.2,1.608220035,0.247037645,1.997419561,100
"Potato-Irish, for vine","N,P,K",ton,48.9,2.24,0.2,3.95,"2,000"
"Prairie (Marsh), for hay","N,P,K",ton,11.8,1.584,0.11,0.77,"2,000"
"Prairie (Meadow), for hay (intermountain area)","N,P",ton,6.5,1.328,0.16,#DIV/0!,"2,000"
"Prairie, for hay (Colorado, Wyoming)",N,ton,5.5,1.185185185,#DIV/0!,#DIV/0!,"2,000"
"Prairie, for hay (Kansas, Oklahoma)","N,P",ton,9.5,0.777900552,0.077348066,#DIV/0!,"2,000"
"Prairie, for hay (Midwest, Minnesota, South Dakota)","N,P,K",ton,10.3,1.054986425,0.132217195,1.08,"2,000"
"Prairie, for hay (western, early cut)","N,P,K",ton,9,1.296703297,0.208791209,1.076923077,"2,000"
"Prairie, for hay (western, mature and weathered)","N,P",ton,9.05,0.594272035,0.05632209,#DIV/0!,"2,000"
"Prairie, for hay (western, mature)","N,P,K",ton,8.1,0.761697497,0.087051143,0.794341676,"2,000"
"Prairie, for hay (western, mid-season cut)","N,P",ton,8.7,1.051478642,0.13143483,#DIV/0!,"2,000"
Pricklypear (without skin),"N,P,K",lb of fruit,87.55,0.93815261,0.192771084,1.767068273,1
Pummelo (without skin),"N,P,K",lb of fruit,89.1,1.11559633,0.155963303,1.981651376,1
Pumpkin,"N,P,K",lb of fruit ,90.67,2.585038462,0.393653846,2.779038462,1000
Quince,"N,P,K",lb of fruit ,83.8,0.395061728,0.104938272,1.216049383,22
"Radish, for root, cultivar 'Icicle'","N,P,K",lb of root,94,2.933333333,0.466666667,4.666666667,35
"Radish, for root, cultivar 'Scarlet Globe'","N,P,K",lb of root,94,1.866666667,0.45,3.166666667,35
"Radish-Chinese Winter, for root","N,P,K",lb of root,94,1.6,0.4,3.166666667,35
Raspberry,"N,P,K",lb of fruit ,86.57,1.084139985,0.089352197,1.13179449,6
"Redtop, for green chop","N,P,K",ton,73.57,2.032,0.38,2.196666667,"2,000"
"Redtop, for hay","N,P,K",ton,8.44,1.30737157,0.215376663,1.888991228,"2,000"
"Redtop, for hay (full bloom)","N,P,K",ton,7,1.504,0.35,1.69,"2,000"
"Redtop, for hay (late vegetative)","N,P,K",ton,8,2.208,0.15,2.39,"2,000"
"Redtop, for hay (mature)",N,ton,8.3,0.944,#DIV/0!,#DIV/0!,"2,000"
"Redtop, for hay (mid bloom)",N,ton,7.2,1.92,#DIV/0!,#DIV/0!,"2,000"
"Rhubarb, for fruit","N,P,K",lb of fruit,93.61,2.253521127,0.219092332,4.507042254,1
"Rhubarb, for leaf petiole","N,P,K",lb of leaf,92,1.4,0.25,4.5,15
"Rice-Rough, for grain","N,P,K",cwt,11.33,1.386730857,0.286220466,0.453220721,100
"Rice, for straw","N,P,K",lb straw/cwt grain,9.18,0.709101759,0.084112084,1.47722973,
Rose-apple,"N,P,K",lb of fruit,93,1.371428571,0.114285714,1.757142857,1
Roselle,"N,P,K",lb of fruit,86.58,1.144560358,0.275707899,1.549925484,1
Rutabaga,"N,P,K",lb of root,90,1.92,0.41,2.2,1
"Rye, for grain","N,P,K",bu,11.88,2.139235697,0.379510973,0.518784916,56
"Rye, for green chop","N,P,K",ton,79.6,2.842666667,0.376666667,3.12,"2,000"
"Rye, for green chop (dough stage)","N,P",ton,66.6,2.144,0.3,#DIV/0!,"2,000"
"Rye, for green chop (mature)","N,P",ton,76.6,1.392888889,0.256410256,#DIV/0!,"2,000"
"Rye, for hay","N,P,K",ton,7.38,1.213701516,0.218438996,1.237513691,"2,000"
"Rye, for hay (dough stage)",N,ton,6.9,1.68,#DIV/0!,#DIV/0!,"2,000"
"Rye, for hay (mature)",N,ton,9.1,1.296,#DIV/0!,#DIV/0!,"2,000"
"Rye, for straw","N,P,K",lb straw/bu grain,9.07,0.504688814,0.09424569,0.969956897,90
"Ryegrass-Perennial, for green chop","N,P,K",ton,76.88,1.86312782,0.281578947,2.548646617,"2,000"
"Ryegrass-Perennial, for green chop (early vegetative)","N,P,K",ton,79.13,3.966666667,0.4,3.08,"2,000"
"Ryegrass-Perennial, for green chop (late vegetative)",N,ton,75,2,#DIV/0!,#DIV/0!,"2,000"
"Ryegrass-Perennial, for green chop (mid bloom)",N,ton,69.85,1.548,#DIV/0!,#DIV/0!,"2,000"
"Ryegrass-Perennial, for hay","N,P,K",ton,12.74,1.485349706,0.196247216,1.420227273,"2,000"
"Ryegrass-Perennial, for hay (early vegetative)",N,ton,8.6,2.24,#DIV/0!,#DIV/0!,"2,000"
"Ryegrass-Perennial, for hay (late vegetative)",N,ton,15,1.85,#DIV/0!,#DIV/0!,"2,000"
"Ryegrass-Perennial, for hay (mature)","N,P",ton,14.3,0.888,0.065,#DIV/0!,"2,000"
"Ryegrass-Perennial, for hay (mid bloom)",N,ton,15,1.3,#DIV/0!,#DIV/0!,"2,000"
"Safflower, for seed","N,P,K",cwt,7.6,2.672859291,0.6,0.75,100
"Saltgrass, for hay","N,P",ton,10.77,1.424,0.1,#DIV/0!,"2,000"
Sapodilla,"N,P,K",lb of fruit,78,0.32,0.054545455,0.877272727,1
Sapote,"N,P,K",lb of fruit,62.43,0.902848017,0.074527549,0.915624168,1
"Sesame, for seed","N,P,K",cwt,6.88,3.657367955,0.773623188,0.5,100
